Name,Pokemon Number,Stat Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Mega,First Type,Second Type,Species,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical
Bulbasaur,1,318,45,49,49,65,65,45,False,Grass,Poison,Seed Pokémon,Overgrow,None,Chlorophyll,Generation 1,Grass,Monster,False,False,False
Ivysaur,2,405,60,62,63,80,80,60,False,Grass,Poison,Seed Pokémon,Overgrow,None,Chlorophyll,Generation 1,Grass,Monster,False,False,False
Venusaur,3,525,80,82,83,100,100,80,False,Grass,Poison,Seed Pokémon,Overgrow,None,Chlorophyll,Generation 1,Grass,Monster,False,False,False
Venusaur(Mega Venusaur),3,625,80,100,123,122,120,80,True,Grass,Poison,Seed Pokémon,Thick Fat,None,None,Generation 6,Grass,Monster,False,False,False
Charmander,4,309,39,52,43,60,50,65,False,Fire,None,Lizard Pokémon,Blaze,None,Solar Power,Generation 1,Dragon,Monster,False,False,False
Charmeleon,5,405,58,64,58,80,65,80,False,Fire,None,Flame Pokémon,Blaze,None,Solar Power,Generation 1,Dragon,Monster,False,False,False
Charizard,6,534,78,84,78,109,85,100,False,Fire,Flying,Flame Pokémon,Blaze,None,Solar Power,Generation 1,Dragon,Monster,False,False,False
Charizard(Mega Charizard X),6,634,78,130,111,130,85,100,True,Fire,Dragon,Flame Pokémon,Tough Claws,None,None,Generation 6,Dragon,Monster,False,False,False
Charizard(Mega Charizard Y),6,634,78,104,78,159,115,100,True,Fire,Flying,Flame Pokémon,Drought,None,None,Generation 6,Dragon,Monster,False,False,False
Squirtle,7,314,44,48,65,50,64,43,False,Water,None,Tiny Turtle Pokémon,Torrent,None,Rain Dish,Generation 1,Monster,Water 1,False,False,False
Wartortle,8,405,59,63,80,65,80,58,False,Water,None,Turtle Pokémon,Torrent,None,Rain Dish,Generation 1,Monster,Water 1,False,False,False
Blastoise,9,530,79,83,100,85,105,78,False,Water,None,Shellfish Pokémon,Torrent,None,Rain Dish,Generation 1,Monster,Water 1,False,False,False
Blastoise(Mega Blastoise),9,630,79,103,120,135,115,78,True,Water,None,Shellfish Pokémon,Mega Launcher,None,None,Generation 6,Monster,Water 1,False,False,False
Caterpie,10,195,45,30,35,20,20,45,False,Bug,None,Worm Pokémon,Shield Dust,None,Run Away,Generation 1,Bug,None,False,False,False
Metapod,11,205,50,20,55,25,25,30,False,Bug,None,Cocoon Pokémon,Shed Skin,None,None,Generation 1,Bug,None,False,False,False
Butterfree,12,395,60,45,50,90,80,70,False,Bug,Flying,Butterfly Pokémon,Compound Eyes,None,Tinted Lens,Generation 1,Bug,None,False,False,False
Weedle,13,195,40,35,30,20,20,50,False,Bug,Poison,Hairy Bug Pokémon,Shield Dust,None,Run Away,Generation 1,Bug,None,False,False,False
